structure,n,trial,total_ns,ns_per_push,median_push_ns,p95_push_ns,p99_push_ns,max_push_ns,random_access_ns,checksum,estimated_bytes
ResizableArray,65,6,1000,15.385,0,100,100,100,400,12710666143234758476,1536
BaselineArray,65,6,800,12.308,0,100,100,100,300,12710666143234758476,512
ResizableArray,65,7,1100,16.923,0,100,100,100,400,12710666143234758476,1536
BaselineArray,65,7,800,12.308,0,100,100,100,300,12710666143234758476,512
ResizableArray,65,8,1000,15.385,0,100,100,100,300,12710666143234758476,1536
BaselineArray,65,8,800,12.308,0,100,100,100,300,12710666143234758476,512
ResizableArray,65,9,900,13.846,0,100,100,100,300,12710666143234758476,1536
BaselineArray,65,9,900,13.846,0,100,100,100,300,12710666143234758476,512
ResizableArray,127,0,1700,13.386,0,100,100,100,1000,4615455325303210370,1536
BaselineArray,127,0,1000,7.874,0,100,100,200,500,4615455325303210370,512
ResizableArray,127,1,1600,12.598,0,100,100,100,1000,4615455325303210370,1536
BaselineArray,127,1,1100,8.661,0,100,100,100,600,4615455325303210370,512
ResizableArray,127,2,1700,13.386,0,100,100,100,900,4615455325303210370,1536
BaselineArray,127,2,1000,7.874,0,100,100,100,600,4615455325303210370,512
ResizableArray,127,3,1600,12.598,0,100,100,100,800,4615455325303210370,1536
BaselineArray,127,3,1000,7.874,0,100,100,200,500,4615455325303210370,512
ResizableArray,127,4,1700,13.386,0,100,100,100,900,4615455325303210370,1536
BaselineArray,127,4,1000,7.874,0,100,100,100,700,4615455325303210370,512
ResizableArray,127,5,2100,16.535,0,100,100,100,900,4615455325303210370,1536
BaselineArray,127,5,1100,8.661,0,100,100,100,500,4615455325303210370,512
ResizableArray,127,6,1600,12.598,0,100,100,100,700,4615455325303210370,1536
BaselineArray,127,6,900,7.087,0,100,100,100,500,4615455325303210370,512
